ID,prefecture,latitude,longitude,power
187,01,42.990151,141.484409,2.12
188,01,42.996965,141.490651,1.2968
189,01,42.970216,141.492961,2.3382
190,01,42.954731,141.486361,1.69344
191,01,43.003622,141.528518,1.0992
192,01,42.937844,141.520943,1.3005
193,01,43.687144,143.324200,1.125
194,01,43.787369,143.600573,1.9522
195,01,43.783915,143.860006,1.10448
196,01,43.790343,143.870588,1.2
197,01,43.781607,143.867340,1.1378
198,01,43.776835,143.868447,0.9442
199,01,43.785758,143.848475,2.4393
200,01,43.788143,143.769917,1.5042
201,01,43.819746,143.803707,0.996
202,01,43.800617,143.787865,1
203,01,43.841558,143.934829,0.8179
205,01,43.836003,143.850099,1.2812
208,01,43.531638,144.946287,1.932
209,01,43.536824,144.955082,1.648
210,01,43.531485,144.963666,2.268
211,01,43.507224,144.950196,1.22304
213,01,43.565187,144.993198,1.02
216,01,41.827889,140.798790,1.1249
218,01,41.825480,140.784992,2.1632
219,01,41.826408,140.787481,1.3059
220,01,41.784968,141.098105,0.8227
225,01,42.562802,141.335425,18.854
226,01,42.531524,141.271559,1.5288
227,01,42.552839,141.341442,1.3536
228,01,42.544573,141.339821,2.6342
229,01,42.537454,141.210208,2.0563
230,01,42.499658,141.254951,2.4208
231,01,42.545844,141.337315,1.433
232,01,42.586523,141.404703,1.2048
233,01,42.575213,141.378618,1.7992
234,01,42.454782,141.201371,1.1424
235,01,43.008407,144.214274,2.0758
236,01,42.993044,144.184133,32.5248
240,01,42.354746,142.366598,1.1388
242,01,42.217250,142.642580,0.791
243,01,42.322318,142.570038,21.077
246,01,42.311230,140.270529,1.9992
253,01,42.636214,141.732639,1.202
254,01,42.634024,141.732559,1.19808
255,01,42.655643,141.675428,23.7904
256,01,42.765812,141.621513,2.0196
257,01,42.765689,141.643852,38.4
258,01,42.762523,141.663808,1.7126
259,01,42.683899,141.768608,2.8344
260,01,42.691847,141.745348,2.566
261,01,42.595271,141.452777,2.471
266,01,42.709683,141.743625,1
267,01,42.661804,141.716328,1.6
268,01,42.660530,141.694321,1.9968
269,01,42.639358,141.679769,1.4817
270,01,42.636603,141.695047,15.2409
272,01,42.684531,141.737658,1.96878
273,01,42.678091,141.739620,1.7
274,01,42.701394,141.768595,45.6
275,01,42.678130,141.808625,2.3225
277,01,42.660200,141.725867,29.7544
279,01,42.660535,141.691442,2.1375
280,01,42.659140,141.690239,2.3971
282,01,42.649430,141.532687,1.554
283,01,42.654140,141.547798,1.4982
284,01,42.607170,141.470100,0.8171
285,01,42.595437,141.462661,1.126
286,01,42.624375,141.488500,0.8388
287,01,42.626369,141.496314,1.0995
294,01,42.458139,141.170925,1.0073
295,01,42.457662,141.180907,2.009
296,01,42.494855,141.133893,2.0675
297,01,42.453314,141.113571,2.105
298,01,42.457961,141.145023,2.3731
303,01,42.912569,143.375020,1.4779
304,01,42.913324,143.373246,0.7862
305,01,42.920594,143.374981,1.0877
306,01,42.567577,143.313321,0.8276
307,01,42.910895,143.348973,1.8579
308,01,42.925088,143.274330,1.203
309,01,42.926117,143.272332,1.5028
310,01,42.914144,143.290104,1.203
311,01,42.926471,143.274184,1.4833
312,01,42.910518,143.303446,1.45824
313,01,42.925748,143.256895,1.109
314,01,42.903351,143.251119,0.742
315,01,42.897459,143.225861,1.3028
317,01,43.124946,143.590282,1.5
318,01,43.121991,143.589059,0.98
320,01,42.797109,143.489609,27.3895
321,01,42.820045,143.545543,0.9295
322,01,42.929421,143.464850,1.5
323,01,42.940519,143.444634,2.7484
332,01,43.558850,141.939280,0.7514
333,01,43.602203,141.928819,0.7514
334,01,43.599206,141.933311,0.7514
336,01,43.546791,141.899873,1.207
337,01,43.591302,141.922068,1.9461
339,01,42.887552,143.160804,0.7651
340,01,42.897121,143.155510,1.2096
341,01,42.767016,143.138605,1.3916
342,01,42.766149,143.140497,1.0281
343,01,42.867724,143.194235,0.75264
345,01,42.881254,143.215929,2.4913
346,01,42.857262,143.200936,4.3902
347,01,42.852165,143.198241,1.9992
351,01,43.588525,143.678964,2.2472
354,01,43.290058,144.600428,1.0022
355,01,43.502663,144.447141,1.2233
356,01,42.783789,141.715012,2.0818
357,01,42.804863,141.687383,38.8962
358,01,42.778971,141.622580,2.38
